Date	Symbol	Price	Target	Stoploss	Profit/Loss	Max Profit	Capital
							
11.07.2018	SREINFRA	62.5	2.05	2.05	-2800		92035
	ASIANPAINT	1367.5	6.5	6.5	-3900		
							
12.07.2018	MRPL	79.85	3.7	3.7	2700	8550	85335
	HCLTECH	1012.2	14	14	-3780	3360	
							
							84255
13.07.2018	JINDALSTEL						
	BEL						
