Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI,H-O,O-L,110,55
04-Oct-18,24780,24967,24620.05,24862.2,24862.2,162327,1611950.04,1635880,187,159.95,Yes,Yes
03-Oct-18,25400,25577,25109.85,25163.65,25163.65,133308,1351337.28,1890480,177,290.15,Yes,Yes
01-Oct-18,25085,25560.15,24861.35,25508.85,25508.85,143184,1440976.86,1853000,475.15,223.65,Yes,Yes
28-Sep-18,25325.2,25530.55,25050.15,25214.7,25214.7,150183,1517997.45,1572840,205.35,275.05,Yes,Yes
27-Sep-18,25494,25563,25135,25198.8,25198.8,57104,577622.9,1341160,69,359,Yes,Yes
26-Sep-18,25611.35,25645,25330,25481.85,25481.85,28560,291266.15,680640,33.65,281.35,Yes,No
25-Sep-18,25072.9,25525,24826.7,25438.5,25438.5,30373,305535.16,562680,452.1,246.2,Yes,Yes
24-Sep-18,25842.35,25858.35,25071.1,25129.15,25129.15,15788,160054.04,352000,16,771.25,Yes,No
21-Sep-18,26563.9,26858.7,25370,25794.7,25794.7,14413,150423.91,216680,294.8,1193.9,Yes,Yes
19-Sep-18,26719.2,26775.25,26465.05,26498.75,26498.75,3443,36652.81,133360,56.05,254.15,Yes,Yes
18-Sep-18,26950,27100,26629.45,26665.75,26665.75,3027,32507.77,111640,150,320.55,Yes,Yes
17-Sep-18,27138.35,27154,26923.75,27014.35,27014.35,1493,16131.99,97640,15.65,214.6,Yes,No
14-Sep-18,27295,27385,27175,27343,27343,1887,20594.7,92680,90,120,Yes,Yes
12-Sep-18,27050,27122.95,26804.7,27084.95,27084.95,2659,28679.92,84400,72.95,245.3,Yes,Yes
11-Sep-18,27444.25,27529.6,27014.7,27043.15,27043.15,2033,22192.94,65360,85.35,429.55,Yes,Yes
10-Sep-18,27522.5,27563.45,27353.7,27432,27432,1335,14659.11,52200,40.95,168.8,Yes,No
07-Sep-18,27626.35,27715,27430.45,27687.15,27687.15,1206,13307.88,50080,88.65,195.9,Yes,Yes
06-Sep-18,27659.3,27759.85,27480,27668.85,27668.85,1923,21250.86,47360,100.55,179.3,Yes,Yes
05-Sep-18,27650.05,27723.85,27408,27635.05,27635.05,2099,23149.97,41400,73.8,242.05,Yes,Yes
04-Sep-18,28046.25,28131.55,27650,27701.6,27701.6,1415,15753.23,37160,85.3,396.25,Yes,Yes
03-Sep-18,28295,28350.8,28057.2,28110.4,28110.4,762,8591.28,35200,55.8,237.8,Yes,Yes
31-Aug-18,28224,28367.95,28182.55,28300.1,28300.1,1066,12059.36,33320,143.95,41.45,Yes,No
30-Aug-18,28320.65,28323.65,28191.65,28271.35,28271.35,421,4756.51,21560,3,129,Yes,No
29-Aug-18,28409.65,28530,28365,28412.85,28412.85,196,2230.4,18360,120.35,44.65,Yes,No
28-Aug-18,28499.6,28539.9,28302,28438.55,28438.55,205,2327.46,15400,40.3,197.6,Yes,No
27-Aug-18,28260,28432.9,28260,28415.15,28415.15,193,2190.07,15760,172.9,0,Yes,No
24-Aug-18,28210.7,28316.15,28040,28080.3,28080.3,97,1091.68,14760,105.45,170.7,Yes,Yes
23-Aug-18,28430.05,28430.05,28184.95,28254.9,28254.9,149,1684.62,14040,0,245.1,Yes,No
21-Aug-18,28410,28430.75,28323.4,28414.75,28414.75,83,942.64,13360,20.75,86.6,No,No
20-Aug-18,28338.7,28499,28338.7,28462.7,28462.7,72,819.88,12240,160.3,0,Yes,No
17-Aug-18,28163.55,28320,28121.9,28306.55,28306.55,83,937.77,11880,156.45,41.65,Yes,No
16-Aug-18,28028.15,28150,27963.7,28019.05,28019.05,83,930.88,10400,121.85,64.45,Yes,Yes
14-Aug-18,28090.85,28200,28090.85,28189.5,28189.5,70,788.12,9360,109.15,0,No,No
13-Aug-18,27988.9,28071,27950,27989,28208.25,111,1243.33,9600,82.1,38.9,No,No
10-Aug-18,28351.1,28450,28252.4,28262.95,28262.95,91,1031.39,9880,98.9,98.7,No,Yes
09-Aug-18,28251.6,28460,28241.05,28438.1,28438.1,112,1271.36,9520,208.4,10.55,Yes,No
08-Aug-18,28003.4,28225,27985.95,28200.4,28200.4,116,1304.69,7040,221.6,17.45,Yes,No
07-Aug-18,28103.4,28152.6,27945.05,28010,28324.15,113,1266.83,6560,49.2,158.35,Yes,No
06-Aug-18,27962.55,28082.9,27955.05,28029.95,28029.95,90,1009.05,5640,120.35,7.5,Yes,No
03-Aug-18,27632.3,27875,27604,27859.25,27859.25,78,865.59,4760,242.7,28.3,Yes,No
02-Aug-18,27558.9,27613.7,27500,27520.1,27520.1,43,474.16,4720,54.8,58.9,No,No
01-Aug-18,27902.35,27902.35,27630,27675.65,27675.65,73,810.3,4040,0,272.35,Yes,No
31-Jul-18,27813.7,27894.2,27800,27874.85,27874.85,48,534.59,3360,80.5,13.7,No,No
30-Jul-18,27745,27910,27699.45,27902.5,27902.5,74,823.75,2600,165,45.55,Yes,No
27-Jul-18,27505,27700,27505,27677.45,27677.45,49,541.66,1360,195,0,Yes,No
