Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI,H-O,O-L,,
28-Sep-18,11070,11099.9,10892.15,10954.3,10954.3,207370,1711658.09,16608675,29.9,177.85,TRUE,Down
27-Sep-18,11120,11143.15,11007.3,11030.5,11030.5,158615,1315927.4,16504650,23.15,112.7,TRUE,Down
26-Sep-18,11162,11190,11050,11110.55,11110.55,87718,730533.61,10275975,28,112,TRUE,Down
25-Sep-18,11021,11140,10952.9,11126.4,11126.4,83373,690807.65,6881700,119,68.1,TRUE,Up
24-Sep-18,11205,11225.8,11015,11041.5,11041.5,58172,483719.58,4067250,20.8,190,TRUE,Down
21-Sep-18,11354,11421.8,11052,11207.6,11207.6,32719,275592.06,2184750,67.8,302,TRUE,Down
19-Sep-18,11383.85,11415,11286.5,11316.75,11316.75,10987,93518.07,1692300,31.15,97.35,TRUE,Down
18-Sep-18,11426.55,11478,11342.45,11353.45,11353.45,10167,87075.47,1423875,51.45,84.1,TRUE,Down
17-Sep-18,11526.65,11532,11431.85,11445.65,11445.65,5479,47126.12,1193475,5.35,94.8,TRUE,Down
14-Sep-18,11531,11597,11507,11584.8,11584.8,5443,47149.79,1143075,66,24,TRUE,Up
12-Sep-18,11376,11469.95,11340,11456.95,11456.95,7689,65705.8,997125,93.95,36,TRUE,Up
11-Sep-18,11529.25,11541.5,11365,11376.7,11376.7,6541,56172.9,864525,12.25,164.25,TRUE,Down
10-Sep-18,11618.25,11635,11520.55,11531.65,11531.65,5374,46607.11,827925,16.75,97.7,TRUE,Down
07-Sep-18,11588,11680.5,11550.15,11666.8,11666.8,4559,39741.39,781875,92.5,37.85,TRUE,Up
06-Sep-18,11580,11640,11507.35,11609.85,11609.85,8024,69660.44,676500,60,72.65,TRUE,Down
05-Sep-18,11636.65,11636.7,11480,11557.85,11557.85,4084,35374.56,506325,0.05,156.65,TRUE,Down
04-Sep-18,11675.15,11688,11589,11611.3,11611.3,3551,30990.82,518850,12.85,86.15,TRUE,Down
03-Sep-18,11788.4,11810,11663.5,11681.15,11681.15,2764,24355.85,515700,21.6,124.9,TRUE,Down
31-Aug-18,11753.65,11825,11730,11774.1,11774.1,2916,25745.45,501900,71.35,23.65,TRUE,Up
30-Aug-18,11778.9,11778.9,11726,11762.3,11762.3,2795,24633.56,481950,0,52.9,TRUE,Down
29-Aug-18,11810,11828.95,11770,11783.45,11783.45,1833,16224.17,410550,18.95,40,TRUE,Down
28-Aug-18,11804.7,11828.8,11784.3,11818.75,11818.75,1479,13097.75,363675,24.1,20.4,FALSE,Up
27-Aug-18,11678.3,11780,11678.3,11773.9,11773.9,3714,32701.37,329850,101.7,0,TRUE,Up
24-Aug-18,11651.2,11670,11613.05,11640.05,11640.05,590,5152.89,348225,18.8,38.15,TRUE,Down
23-Aug-18,11669.7,11679.75,11616.9,11659.7,11659.7,1226,10704.64,338925,10.05,52.8,TRUE,Down
21-Aug-18,11650.6,11653.3,11615,11649.7,11649.7,1043,9100.52,315450,2.7,35.6,TRUE,Down
20-Aug-18,11578.2,11645.35,11573.7,11640.3,11640.3,1510,13164.36,304200,67.15,4.5,TRUE,Up
17-Aug-18,11499,11562.85,11499,11549.2,11549.2,776,6714.22,267600,63.85,0,TRUE,Up
16-Aug-18,11468.85,11516,11439.85,11472,11472,795,6842,254475,47.15,29,TRUE,Up
14-Aug-18,11457,11530,11455,11519,11519,629,5425.53,253125,73,2,TRUE,Up
13-Aug-18,11445,11480,11404.5,11441.05,11441.05,1557,13344.45,243075,35,40.5,TRUE,Down
10-Aug-18,11520.85,11539.85,11492,11497.25,11497.25,295,2546.49,223800,19,28.85,TRUE,Down
09-Aug-18,11535,11558.75,11525.1,11542.65,11542.65,564,4881.03,218925,23.75,9.9,FALSE,Up
08-Aug-18,11475,11528,11450.3,11523.6,11523.6,917,7914.14,202125,53,24.7,TRUE,Up
07-Aug-18,11500,11503.15,11427,11467.9,11467.9,331,2845.36,164700,3.15,73,TRUE,Down
06-Aug-18,11460,11492,11438,11463.4,11463.4,391,3362.88,154725,32,22,TRUE,Up
03-Aug-18,11369.8,11448.45,11350.5,11440.55,11440.55,972,8313.02,148500,78.65,19.3,TRUE,Up
02-Aug-18,11393.75,11393.75,11323.1,11330.55,11330.55,996,8478.97,121725,0,70.65,TRUE,Down
01-Aug-18,11420,11441,11390,11401.95,11401.95,1079,9240.19,92775,21,30,TRUE,Down
31-Jul-18,11380,11420,11335.6,11412.9,11412.9,455,3882.08,60825,40,44.4,TRUE,Down
30-Jul-18,11341,11384.9,11320.5,11381.15,11381.15,422,3595.25,45900,43.9,20.5,TRUE,Up
27-Jul-18,11298.15,11349,11257.9,11341.75,11341.75,580,4920.16,27975,50.85,40.25,TRUE,Up
