Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI,H-O,O-L
26-Sep-18,11135.1,11149,11001.1,11062.45,11062.45,185193,1536509.84,14446725,13.9,134
25-Sep-18,10970.1,11103.8,10909.05,11086.7,11086.7,234567,1936324.93,17280975,133.7,61.05
24-Sep-18,11174.5,11185,10969.45,10997.95,10997.95,210305,1743405.86,20627400,10.5,205.05
21-Sep-18,11304.95,11385,11005.55,11166.35,11166.35,284206,2389435.44,23382075,80.05,299.4
19-Sep-18,11348.95,11373.9,11244.45,11272.8,11272.8,141280,1198746.53,25601100,24.95,104.5
18-Sep-18,11388.05,11438,11298.1,11310.2,11310.2,138554,1182158.76,26291175,49.95,89.95
17-Sep-18,11485,11490,11392.65,11407.7,11407.7,130561,1118944.63,26427600,5,92.35
14-Sep-18,11482.5,11559,11466,11547.3,11547.3,117420,1013782.26,26679750,76.5,16.5
12-Sep-18,11331.3,11430,11297.45,11417.35,11417.35,157220,1339659.71,27195825,98.7,33.85
11-Sep-18,11498.75,11504.95,11322.8,11336.25,11336.25,144874,1240748.59,27835125,6.2,175.95
10-Sep-18,11594.4,11598.8,11482.55,11492.7,11492.7,135457,1170720.54,28161075,4.4,111.85
07-Sep-18,11550,11648.55,11512.6,11632.95,11632.95,125938,1094375.27,28338750,98.55,37.4
06-Sep-18,11547.85,11603,11470.25,11567.15,11567.15,155608,1346890.87,27699225,55.15,77.6
05-Sep-18,11554.95,11579,11437,11518.25,11518.25,167644,1446787.63,26843850,24.05,117.95
04-Sep-18,11633.15,11649.6,11550,11573.1,11573.1,137680,1197737.55,25474350,16.45,83.15
03-Sep-18,11755.15,11775.05,11620,11641.75,11641.75,106979,939364.98,25400175,19.9,135.15
31-Aug-18,11709,11793,11686.35,11735.3,11735.3,126084,1109684.35,25285125,84,22.65
30-Aug-18,11755.05,11757.8,11694.05,11733.15,11733.15,124241,1092251.58,23746575,2.75,61
29-Aug-18,11792.25,11803,11736.5,11749.85,11749.85,101033,892293.16,18046275,10.75,55.75
28-Aug-18,11770,11799.8,11753.25,11789.3,11789.3,81942,723781.51,12435525,29.8,16.75
27-Aug-18,11649.95,11750,11465,11741.95,11741.95,56821,499194.71,7795575,100.05,184.95
24-Aug-18,11610,11646.45,11583,11610.85,11610.85,18304,159437.86,4665000,36.45,27
23-Aug-18,11634.35,11652.5,11593,11634.8,11634.8,19969,174045.17,3866700,18.15,41.35
21-Aug-18,11614.35,11627,11590.05,11621.8,11621.8,11323,98583.51,2860200,12.65,24.3
20-Aug-18,11550,11617.5,11544.55,11611.65,11611.65,8441,73410.42,2353950,67.5,5.45
17-Aug-18,11482.15,11539,11472,11525.1,11525.1,7601,65643.75,2041875,56.85,10.15
16-Aug-18,11441.65,11492.6,11412,11443.4,11443.4,6526,56068.05,1728600,50.95,29.65
14-Aug-18,11414.05,11505.4,11411.85,11492.2,11492.2,4238,36470.02,1540275,91.35,2.2
