Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ICICIPRULI","388.45","431.95","378.65","425.55","37.15","9.56","148.05","603.67","509.40","363.20","5.67","11.14"
"GMRINFRA","19.75","21.05","19.45","20.95","1.30","6.62","648.52","133.08","25.05","14.20","14.79","23.24"
"MFSL","504.25","526.40","498.50","526.35","25.85","5.16","20.73","107.05","683.95","417.30","-18.47","15.26"
"RELIANCE","935.80","975.70","935.00","971.60","35.60","3.80","91.07","874.17","990.95","647.55","37.10","7.82"
"YESBANK","314.00","328.80","314.00","324.15","11.10","3.55","243.92","789.18","382.90","275.25","4.28","6.86"
"BAJAJFINSV","5,300.00","5,454.00","5,300.00","5,444.00","150.00","2.83","1.42","76.78","5,790.00","3,801.00","24.53","5.69"
"OIL","234.45","240.90","232.10","237.95","6.35","2.74","18.24","43.15","259.30","171.40","-26.48","-30.52"
"ENGINERSIN","154.40","158.35","153.80","157.85","4.20","2.73","20.60","32.34","206.40","140.65","-8.63","0.45"
"BIOCON","640.00","663.75","640.00","651.50","15.50","2.44","67.58","442.26","663.75","295.03","83.43","13.55"
"DLF","211.90","217.35","211.60","217.15","5.10","2.41","42.93","92.09","273.85","153.00","14.08","3.68"
"CESC","1,033.90","1,060.90","1,031.00","1,058.90","24.25","2.34","5.22","54.78","1,190.00","807.05","15.94","10.94"
"MUTHOOTFIN","439.70","449.50","434.10","448.15","10.20","2.33","6.58","29.03","525.50","357.45","13.41","16.66"
"SRTRANSFIN","1,611.00","1,656.80","1,610.20","1,625.00","35.60","2.24","12.48","203.62","1,656.80","917.70","54.24","14.51"
"RAYMOND","1,047.80","1,074.90","1,044.70","1,066.95","22.70","2.17","11.65","124.02","1,141.95","598.10","41.43","15.93"
"IGL","296.80","301.90","294.40","301.15","6.20","2.10","19.17","57.37","344.90","193.36","42.35","6.75"
