Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"TATAPOWER","85.50","86.10","84.60","85.45","-0.45","-0.52","48.64","41.47","101.80","75.80","1.54","6.88"
"APOLLOHOSP","1,130.10","1,148.00","1,121.65","1,128.00","-6.00","-0.53","1.43","16.21","1,358.00","957.15","-2.71","9.68"
"SYNDIBANK","55.10","55.70","54.75","55.10","-0.30","-0.54","32.80","18.10","95.90","51.85","-23.47","-7.47"
"IDFC","53.95","54.35","53.35","53.60","-0.30","-0.56","26.73","14.41","68.90","48.30","-6.21","7.41"
"ADANIPOWER","26.00","26.10","25.65","25.85","-0.15","-0.58","61.37","15.90","47.80","23.10","-21.79","0.78"
"ESCORTS","965.00","972.50","953.60","956.20","-5.80","-0.60","8.02","77.31","994.50","542.60","74.47","15.73"
"INDIGO","1,502.00","1,506.00","1,476.05","1,494.00","-9.35","-0.62","4.06","60.62","1,520.00","1,004.00","29.07","17.91"
"CONCOR","1,345.10","1,351.00","1,306.35","1,336.00","-8.60","-0.64","4.77","63.70","1,500.00","1,096.10","13.42","12.78"
"LT","1,370.00","1,378.00","1,355.50","1,356.05","-9.00","-0.66","13.65","186.53","1,470.00","1,107.53","20.99","3.57"
"CASTROLIND","202.60","203.25","200.00","200.80","-1.40","-0.69","10.00","20.16","226.40","171.50","-53.39","-1.23"
"TATAMOTORS","335.95","339.50","333.00","333.65","-2.35","-0.70","80.57","270.70","488.25","324.30","-24.85","-0.06"
"DHFL","587.00","600.00","577.35","581.15","-4.15","-0.71","49.54","293.05","679.00","387.20","41.55","11.72"
"PCJEWELLER","297.00","302.40","293.60","293.65","-2.15","-0.73","32.09","95.41","600.65","208.00","39.93","-14.69"
"ONGC","183.40","183.75","179.40","181.00","-1.35","-0.74","39.30","71.14","212.85","155.20","1.06","3.10"
"HEROMOTOCO","3,736.40","3,736.40","3,691.35","3,714.00","-28.70","-0.77","2.36","87.72","4,091.95","3,180.00","16.12","7.23"
"CAPF","641.70","645.55","637.00","637.70","-5.20","-0.81","1.77","11.36","901.85","609.80","-18.27","0.31"
"TVSMOTOR","668.00","681.00","661.00","661.95","-5.60","-0.84","8.34","56.08","794.45","471.00","35.34","7.53"
"HDFCBANK","1,979.00","1,979.00","1,860.30","1,939.50","-16.40","-0.84","38.26","745.15","2,015.00","1,452.95","32.65","4.34"
"SUNTV","889.00","890.90","875.40","877.90","-7.50","-0.85","9.20","81.14","1,097.80","652.45","-2.15","0.58"
"SUZLON","11.40","11.50","11.20","11.40","-0.10","-0.87","177.19","20.18","22.25","10.60","-42.86","0.88"
"WOCKPHARMA","796.05","819.70","787.35","790.35","-6.90","-0.87","23.14","186.40","1,012.00","530.65","5.92","6.54"
"JINDALSTEL","251.85","253.75","248.65","249.45","-2.25","-0.89","40.14","100.76","294.30","102.70","124.63","8.17"
"INFIBEAM","171.15","173.60","169.25","169.60","-1.55","-0.91","45.66","77.99","195.90","87.15","54.81","12.88"
"JETAIRWAYS","625.60","629.00","614.30","619.90","-5.80","-0.93","19.04","117.94","883.45","438.25","21.22","-7.25"
"EQUITAS","150.80","151.50","148.65","149.35","-1.45","-0.96","10.85","16.24","183.60","129.30","-13.22","6.41"
"HINDUNILVR","1,471.00","1,471.00","1,450.00","1,452.80","-15.00","-1.02","3.96","57.57","1,472.15","898.55","58.65","10.43"
"RBLBANK","508.00","510.50","501.10","502.00","-5.35","-1.05","5.56","28.11","600.90","443.30","-13.06","8.63"
"ICICIBANK","280.00","282.80","275.25","279.15","-3.00","-1.06","116.20","324.29","365.70","241.09","12.58","-3.48"
"CGPOWER","82.80","84.10","82.10","82.25","-0.90","-1.08","7.20","5.98","99.15","67.50","3.07","6.75"
"TATAGLOBAL","287.70","287.80","282.65","283.20","-3.10","-1.08","16.87","47.94","328.75","140.20","86.13","7.60"
"PETRONET","242.00","242.00","236.00","237.00","-2.70","-1.13","23.90","56.70","275.65","198.20","6.82","0.64"
"WIPRO","299.80","301.00","293.80","294.65","-3.40","-1.14","39.98","118.90","334.00","241.50","17.92","-0.20"
"UBL","1,128.00","1,134.30","1,111.40","1,113.95","-13.65","-1.21","1.53","17.14","1,243.00","737.05","48.53","16.13"
"GODREJIND","600.85","604.15","595.10","595.60","-7.30","-1.21","1.47","8.78","699.00","512.55","13.81","13.33"
"INFRATEL","332.00","332.60","324.50","326.95","-4.15","-1.25","24.76","81.08","482.80","320.05","-4.60","-3.03"
"JUSTDIAL","454.60","465.15","450.00","450.35","-5.75","-1.26","20.11","91.57","647.00","327.55","-14.83","1.90"
