Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"DCBBANK","181.50","192.80","179.15","189.70","10.55","5.89","84.65","157.92","213.00","155.05","5.56","15.67"
"CIPLA","553.05","587.80","553.05","585.05","29.55","5.32","67.41","389.16","663.40","480.20","1.35","1.24"
"DHFL","546.10","575.80","542.10","570.75","23.20","4.24","115.11","649.06","679.00","385.65","46.68","9.40"
"ARVIND","407.70","427.45","406.50","426.95","16.40","3.99","20.40","85.52","478.50","353.25","8.65","7.10"
"NCC","125.50","131.95","125.50","131.85","4.80","3.78","34.36","44.51","141.40","76.20","44.41","4.85"
"JISLJALEQS","111.90","117.00","111.55","116.95","3.70","3.27","82.00","94.10","150.40","82.60","17.13","5.41"
"INDIACEM","145.00","151.50","144.20","151.00","4.75","3.25","44.23","66.11","226.25","135.70","-7.39","-1.53"
"UJJIVAN","380.85","396.95","379.30","393.30","12.05","3.16","17.28","67.77","422.60","285.00","-2.27","13.28"
"ACC","1,531.70","1,582.85","1,530.00","1,582.80","46.35","3.02","2.23","34.82","1,869.95","1,475.00","5.93","-1.81"
"GRASIM","1,057.00","1,097.30","1,056.95","1,094.45","30.80","2.90","8.06","87.66","1,375.00","1,012.15","4.17","-2.43"
"ESCORTS","935.90","975.85","935.80","973.05","26.85","2.84","27.49","264.24","975.85","535.10","78.26","15.27"
"MUTHOOTFIN","430.95","444.70","426.75","443.40","12.20","2.83","5.91","25.97","525.50","357.45","13.81","11.38"
"DIVISLAB","1,147.50","1,177.00","1,133.35","1,175.00","29.50","2.58","7.98","92.65","1,177.00","532.65","81.08","11.39"
"OFSS","4,030.00","4,148.15","4,030.00","4,125.00","94.20","2.34","0.31","12.64","4,379.20","3,372.25","10.26","4.68"
"WOCKPHARMA","738.80","761.00","733.30","757.95","16.55","2.23","9.91","74.35","1,012.00","530.65","-0.60","-4.50"
"M&MFIN","492.50","511.65","489.05","507.10","10.85","2.19","13.12","65.77","512.00","289.95","52.51","16.44"
"HEROMOTOCO","3,723.00","3,810.00","3,710.20","3,807.00","81.10","2.18","1.64","62.22","4,091.95","3,179.00","18.06","4.61"
"L&TFH","165.05","170.50","164.75","169.70","3.55","2.14","41.34","69.67","213.85","119.35","39.61","4.43"
"SRF","2,067.00","2,148.80","2,066.20","2,133.00","44.60","2.14","2.15","45.50","2,148.80","1,415.25","25.96","14.13"
"BRITANNIA","5,212.90","5,338.00","5,185.85","5,320.00","111.10","2.13","0.96","50.63","5,338.00","3,339.20","56.30","10.29"
"RBLBANK","498.95","512.25","498.75","512.00","10.60","2.11","5.50","27.90","600.90","443.30","-8.35","8.45"
"CONCOR","1,300.00","1,329.75","1,293.00","1,326.00","27.10","2.09","2.37","31.04","1,500.00","1,096.10","12.47","6.39"
"UPL","743.00","765.00","741.00","762.65","15.55","2.08","7.39","55.87","902.50","672.50","4.87","6.17"
"DALMIABHA","2,850.00","2,924.40","2,820.00","2,895.00","58.65","2.07","0.72","20.72","3,350.00","2,050.00","36.98","0.43"
"JPASSOCIAT","19.10","19.80","18.85","19.70","0.40","2.07","686.86","133.80","30.45","9.15","53.91","20.49"
"MINDTREE","843.50","872.00","840.60","869.70","17.55","2.06","26.24","225.48","872.00","435.00","96.36","8.77"
"NTPC","169.60","174.90","169.60","174.45","3.50","2.05","30.79","53.30","188.00","153.15","5.95","2.80"
"AMBUJACEM","236.00","242.50","235.15","241.50","4.85","2.05","11.17","26.79","291.50","223.00","-1.51","-0.98"
"IBULHSGFIN","1,339.85","1,378.00","1,334.05","1,372.20","27.40","2.04","15.77","215.45","1,440.00","938.00","43.42","11.84"
"KOTAKBANK","1,147.50","1,175.00","1,145.00","1,174.00","22.90","1.99","16.25","189.14","1,175.00","867.20","33.48","8.53"
"TVSMOTOR","654.00","677.50","653.00","674.95","13.15","1.99","21.18","141.67","794.45","467.00","42.39","5.06"
"MOTHERSUMI","335.00","345.15","334.25","344.50","6.40","1.89","13.97","47.82","395.60","246.73","37.29","7.61"
"M&M","783.20","805.00","783.20","804.00","14.40","1.82","28.97","231.01","805.00","612.00","-37.21","10.41"
"BAJAJ-AUTO","2,783.70","2,841.45","2,776.10","2,837.00","50.80","1.82","4.79","135.14","3,468.35","2,694.50","-0.39","-3.85"
"BAJFINANCE","1,913.95","1,950.00","1,897.55","1,949.00","34.65","1.81","7.73","148.72","1,985.90","1,190.55","52.99","13.97"
"LUPIN","771.00","797.50","770.80","794.00","14.15","1.81","17.03","134.90","1,454.90","727.10","-44.66","1.59"
"DLF","207.95","215.20","207.65","214.00","3.75","1.78","58.51","124.18","273.85","153.00","34.04","-3.15"
"EQUITAS","151.10","154.65","148.05","153.80","2.60","1.72","10.87","16.54","183.60","129.30","-7.71","8.08"
"DISHTV","78.70","81.50","77.35","80.45","1.30","1.64","93.28","74.47","102.30","63.70","-20.43","12.60"
"BATAINDIA","768.00","786.15","763.70","783.00","12.40","1.61","7.50","58.54","832.80","510.70","38.10","10.69"
"APOLLOTYRE","293.50","301.50","290.55","301.00","4.75","1.60","23.63","70.30","301.50","217.25","35.37","12.73"
"KSCL","534.00","546.95","528.20","545.10","8.20","1.53","4.98","26.98","708.00","431.20","0.20","10.36"
"MCX","758.80","781.00","751.20","771.15","11.65","1.53","9.22","71.21","1,248.00","665.10","-36.27","1.31"
"PFC","85.80","87.80","85.45","87.65","1.30","1.51","24.14","20.91","168.85","83.30","-46.13","1.10"
"TORNTPHARM","1,310.00","1,356.55","1,310.00","1,347.00","19.95","1.50","0.76","10.16","1,480.00","1,141.95","-7.27","3.89"
"HDFC","1,833.00","1,873.00","1,832.20","1,867.90","27.30","1.48","25.56","476.50","1,986.05","1,461.15","26.65","1.26"
"AJANTPHARM","1,363.00","1,399.35","1,357.00","1,385.00","20.00","1.47","1.77","24.58","1,782.90","1,120.05","-21.98","0.51"
"PIDILITIND","1,032.95","1,045.95","1,024.00","1,040.00","15.10","1.47","10.37","107.77","1,045.95","708.00","45.47","14.76"
"STAR","644.90","655.30","640.40","652.10","9.20","1.43","3.02","19.54","1,134.00","627.10","-40.98","-5.75"
"REPCOHOME","613.50","627.00","608.00","622.40","8.70","1.42","1.79","11.13","924.00","510.00","-17.07","10.03"
"TATAGLOBAL","274.00","280.20","272.55","279.40","3.90","1.42","30.31","83.71","328.75","140.20","85.65","0.32"
"RECLTD","127.50","129.50","126.10","129.40","1.80","1.41","23.68","30.19","223.90","120.75","-37.44","1.25"
"ITC","260.50","264.90","260.00","264.35","3.60","1.38","52.12","137.39","367.70","250.00","-5.30","-1.38"
"TATACHEM","726.00","740.65","721.20","737.60","10.05","1.38","11.03","80.99","782.00","560.40","19.69","7.07"
"EXIDEIND","238.50","244.00","238.35","243.75","3.30","1.37","11.51","27.85","250.00","192.40","7.21","13.58"
